Qty, PROD_ID, Names, Value, Package
1, CAP-00810, C1, 0.1uF, 0603
1, CONN-12263, J1, RASPBERRYPI-40-PIN-GPIO_PTH, 2X20_SHROUDED
1, CONN-14142, J2, XLR-3-FEMALE, XLR-3_FEMALE
1, RES-12438, R1, 100, 0603
